sql_keyword,special_char,comment_char,wildcard_char,escape_char,label
0,26,1,0,0,1
0,10,1,0,0,1
0,9,0,3,0,1
0,5,0,0,0,1
1,16,1,1,0,1
0,1,0,0,0,1
1,9,0,0,0,1
1,9,0,0,0,1
1,5,0,0,0,1
1,15,0,0,0,1
1,5,0,0,0,1
1,9,1,0,0,1
1,9,1,0,0,1
1,7,1,0,0,1
1,8,1,0,0,1
1,8,1,0,0,1
1,6,1,0,0,1
1,8,1,0,0,1
1,8,1,0,0,1
1,12,1,0,0,1
1,7,1,0,0,1
1,6,1,0,0,1
1,4,0,0,0,1
1,7,1,0,0,1
2,14,0,0,0,1
2,12,0,0,0,1
1,8,1,0,0,1
1,5,0,0,0,1
1,15,0,0,0,1
1,11,0,0,0,1
1,5,0,0,0,1
1,9,1,0,0,1
1,9,1,0,0,1
1,9,0,0,0,1
1,15,0,0,0,1
1,21,0,0,0,1
1,12,0,0,0,1
0,1,0,0,0,1
0,2,0,0,0,1
0,0,0,0,0,1
0,3,0,0,0,1
1,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,1,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
2,7,0,1,0,1
2,7,0,1,0,1
2,7,0,1,0,1
2,7,0,1,0,1
2,7,0,1,0,1
1,1,0,0,0,1
1,1,0,0,0,1
1,7,0,1,0,1
1,5,0,1,0,1
1,13,1,1,0,1
1,3,1,1,0,1
0,2,0,0,1,1
0,3,0,0,0,1
0,4,0,0,0,1
1,9,0,0,0,1
1,7,0,0,0,1
0,5,0,1,0,1
0,3,0,0,0,1
0,2,0,2,0,1
0,1,0,1,0,1
0,14,0,1,0,1
1,6,0,0,0,1
1,6,0,1,0,1
0,9,0,0,0,1
0,4,0,0,0,1
0,4,0,4,0,1
0,3,0,0,0,1
0,1,0,0,0,1
0,6,0,0,0,1
0,1,0,0,0,1
0,1,0,1,0,1
0,2,0,0,0,1
0,2,0,2,0,1
0,20,0,0,0,1
0,8,0,8,0,1
0,20,0,0,0,1
0,8,0,8,0,1
0,3,0,0,0,1
0,1,0,1,0,1
0,3,0,0,0,1
0,1,0,1,0,1
0,1,0,0,0,1
0,1,0,1,0,1
0,1,0,0,0,1
0,1,0,1,0,1
2,14,0,0,0,1
1,9,0,0,0,1
2,14,0,0,0,1
0,1,0,0,0,1
0,2,0,0,0,1
0,3,1,0,0,1
0,3,2,0,0,1
1,8,1,0,0,1
1,11,1,0,0,1
1,6,0,0,0,1
1,8,1,0,0,1
1,14,0,0,0,1
1,5,0,0,0,1
2,19,0,0,0,1
0,16,1,0,0,1
1,0,0,0,0,1
1,14,1,4,0,1
1,18,1,5,0,1
1,47,0,0,0,1
1,21,0,0,0,1
1,0,0,0,0,1
1,0,0,0,0,1
1,14,1,4,0,1
0,13,1,5,0,1
0,20,0,0,0,1
1,15,0,0,0,1
1,7,1,0,0,1
1,0,0,0,0,1
1,16,1,4,0,1
1,14,0,0,0,1
1,4,0,1,0,1
0,2,0,0,0,1
1,12,1,0,0,1
1,26,1,0,0,1
0,0,0,0,0,1
0,8,0,0,0,1
1,11,1,0,0,1
1,19,1,0,0,1
1,3,1,0,0,1
1,8,1,0,0,1
1,9,1,0,0,1
1,8,0,0,0,1
1,9,1,0,0,1
1,6,0,0,0,1
0,3,0,0,0,1
1,19,0,4,0,1
1,26,1,0,0,1
1,9,0,0,0,1
0,0,0,0,0,1
0,2,0,1,0,1
0,0,0,0,0,1
1,5,0,0,0,1
1,5,0,0,0,1
1,27,1,0,0,1
0,0,0,0,0,1
1,15,0,0,0,1
1,5,0,0,0,1
1,21,1,4,0,1
1,10,1,0,0,1
0,23,0,1,0,1
1,4,0,0,0,1
1,13,1,4,0,1
1,4,0,0,0,1
3,15,1,0,0,1
1,8,0,0,0,1
1,11,0,0,0,1
0,3,1,0,0,1
2,13,0,0,0,1
2,22,0,0,0,1
1,1,0,0,0,1
1,15,1,1,0,1
0,2,0,0,0,1
1,16,1,5,0,1
0,9,1,0,0,1
0,1,0,0,0,1
1,4,0,0,0,1
1,11,0,0,0,1
0,2,0,0,0,1
1,0,0,0,0,1
1,21,1,0,0,1
0,2,0,0,1,1
2,21,0,0,0,1
0,1,0,1,0,1
0,0,0,0,0,1
1,22,1,4,0,1
0,2,0,0,0,1
1,7,1,0,0,1
0,8,0,8,0,1
1,4,0,0,0,1
5,12,0,1,0,1
0,3,0,0,0,1
1,11,1,0,0,1
0,2,0,1,0,1
1,9,0,0,0,1
0,6,0,0,0,1
0,10,1,0,0,1
1,7,1,0,0,1
1,32,0,1,0,1
0,4,0,0,0,1
0,4,0,0,0,1
0,0,0,0,0,1
1,23,1,5,0,1
1,19,8,0,0,1
2,8,1,0,0,1
0,2,0,0,0,1
0,6,0,0,0,1
1,8,0,0,0,1
1,13,0,1,0,1
0,9,0,0,0,1
1,18,1,0,0,1
1,8,0,0,0,1
0,4,0,1,0,1
1,15,1,5,0,1
1,11,0,0,0,1
1,20,0,4,0,1
1,14,0,0,0,1
1,23,0,0,0,1
2,19,0,1,0,1
0,4,0,0,0,1
1,7,0,0,0,1
1,18,1,5,0,1
2,2,0,0,0,1
1,13,1,4,0,1
4,9,1,1,0,1
1,8,1,0,0,1
1,11,0,0,0,1
2,16,0,0,0,1
2,6,0,0,0,1
1,7,1,0,0,1
1,8,0,0,0,1
0,1,0,0,0,1
1,16,0,4,0,1
1,6,1,0,0,1
1,7,1,0,0,1
0,0,0,0,0,1
0,1,0,0,0,1
1,13,1,0,0,1
2,22,0,0,0,1
1,8,1,0,0,1
0,4,0,4,0,1
1,1,0,0,0,1
0,0,0,0,0,1
0,7,1,0,0,1
1,21,1,0,0,1
2,11,0,0,0,1
1,13,1,4,0,1
1,8,1,0,0,1
0,9,1,0,0,1
0,3,2,0,0,1
1,9,0,0,0,1
1,6,0,0,0,1
1,18,1,0,0,1
1,17,1,4,0,1
1,8,1,0,0,1
1,8,1,0,0,1
0,10,1,0,0,1
1,8,0,0,0,1
1,6,0,1,0,1
1,5,0,0,0,1
1,0,0,0,0,1
1,25,0,4,0,1
0,4,0,0,0,1
1,9,1,0,0,1
1,19,1,5,0,1
1,8,0,0,0,1
1,14,0,0,0,1
1,1,0,0,0,1
0,2,0,1,0,1
0,3,0,0,0,1
1,8,1,0,0,1
1,15,1,5,0,1
1,5,0,0,0,1
1,11,0,0,0,1
0,9,4,0,0,1
0,0,0,0,0,1
1,6,0,1,0,1
